Geo_Name,Geo_QName,Geo_GISJOIN,Geo_GISJOIN2,Geo_SUMLEV,Geo_shape_area,Geo_FIPS,Geo_STATE,Geo_COUNTY,Geo_TRACT6,SE_T001_001,SE_A002_001,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T013_009,SE_T013_010,SE_T013_011,SE_T082_001,SE_T082_002,SE_T082_003,SE_T100_001,SE_T100_002,SE_T100_003
"Census Tract 1055","Census Tract 1055, St. Louis City, Missouri","G2905100105500","2905100105500","50",0.46158482559945,"29510105500","29","510","105500",6296,0.46158482559945,6296,6253,117,6112,11,13,43,0,38,5,0,1978,1747,231,6145,3853,2292
"Census Tract 1061","Census Tract 1061, St. Louis City, Missouri","G2905100106100","2905100106100","50",0.36161584112175,"29510106100","29","510","106100",5854,0.36161584112175,5854,5837,39,5790,6,2,17,2,14,1,0,2031,1706,325,5814,3564,2250
"Census Tract 1062","Census Tract 1062, St. Louis City, Missouri","G2905100106200","2905100106200","50",0.40737717601722,"29510106200","29","510","106200",4129,0.40737717601722,4129,4091,40,4028,13,10,38,0,35,0,3,1622,1350,272,4123,2518,1605
"Census Tract 1063","Census Tract 1063, St. Louis City, Missouri","G2905100106300","2905100106300","50",0.38716509078684,"29510106300","29","510","106300",5346,0.38716509078684,5346,5258,56,5185,7,10,88,0,86,0,2,2078,1738,340,5338,3845,1493
"Census Tract 1064","Census Tract 1064, St. Louis City, Missouri","G2905100106400","2905100106400","50",0.42180035689198,"29510106400","29","510","106400",4863,0.42180035689198,4863,4801,59,4728,4,10,62,1,61,0,0,1989,1795,194,4827,3473,1354
"Census Tract 1065","Census Tract 1065, St. Louis City, Missouri","G2905100106500","2905100106500","50",0.4167551107167,"29510106500","29","510","106500",5020,0.4167551107167,5020,4964,53,4886,25,0,56,0,54,1,1,1956,1720,236,4970,3587,1383
"Census Tract 1066","Census Tract 1066, St. Louis City, Missouri","G2905100106600","2905100106600","50",0.32741144643401,"29510106600","29","510","106600",4353,0.32741144643401,4353,4323,43,4263,17,0,30,2,25,0,3,1703,1427,276,4322,2696,1626
"Census Tract 1067","Census Tract 1067, St. Louis City, Missouri","G2905100106700","2905100106700","50",0.48309935207926,"29510106700","29","510","106700",5847,0.48309935207926,5847,5794,52,5717,4,21,53,0,50,0,3,2314,2122,192,5795,4472,1323
"Census Tract 1071","Census Tract 1071, St. Louis City, Missouri","G2905100107100","2905100107100","50",1.21951193759379,"29510107100","29","510","107100",1272,1.21951193759379,1272,1267,70,1193,1,3,5,0,5,0,0,391,375,16,1362,1047,315
"Census Tract 1072","Census Tract 1072, St. Louis City, Missouri","G2905100107200","2905100107200","50",0.25021917349497,"29510107200","29","510","107200",2779,0.25021917349497,2779,2751,255,2487,0,9,28,10,18,0,0,872,765,107,2665,1729,936
